id,quartier,latitude,longitude,prix_m2,acces,dist_route_nationale,batissable,dist_jirama,statut_admin
1,Analakely,-18.9100,47.5360,450000,5,120,1,80,3
2,Analakely,-18.9115,47.5372,420000,5,150,1,100,3
3,Analakely,-18.9098,47.5345,480000,5,90,1,60,3
4,Tsaralalana,-18.9080,47.5390,390000,4,200,1,120,2
5,Tsaralalana,-18.9075,47.5405,370000,4,250,1,150,2
6,Tsaralalana,-18.9090,47.5378,410000,4,180,1,110,2
7,Ampefiloha,-18.9150,47.5320,320000,4,300,1,200,2
8,Ampefiloha,-18.9165,47.5335,300000,3,350,1,220,1
9,Ampefiloha,-18.9140,47.5310,340000,4,280,1,180,2
10,Behoririka,-18.9200,47.5280,280000,3,400,1,250,2
11,Behoririka,-18.9215,47.5265,260000,3,450,1,280,1
12,Behoririka,-18.9190,47.5295,290000,3,380,1,240,2
13,Ambohijatovo,-18.9050,47.5420,360000,4,220,1,130,2
14,Ambohijatovo,-18.9040,47.5435,340000,4,260,1,160,1
15,Ambohijatovo,-18.9060,47.5410,380000,4,190,1,120,3
16,Isotry,-18.9250,47.5230,200000,2,600,1,350,1
17,Isotry,-18.9265,47.5215,180000,2,650,1,380,0
18,Isotry,-18.9240,47.5245,210000,2,580,1,340,1
19,Anosibe,-18.9300,47.5180,160000,2,800,0,450,0
20,Anosibe,-18.9315,47.5165,140000,1,900,0,500,0
21,Anosibe,-18.9290,47.5195,170000,2,750,0,430,0
22,Mahamasina,-18.9170,47.5350,310000,3,320,1,210,2
23,Mahamasina,-18.9185,47.5365,295000,3,360,1,230,1
24,Mahamasina,-18.9160,47.5340,325000,4,290,1,200,2
25,Ankadifotsy,-18.9220,47.5420,250000,3,500,1,300,1
26,Ankadifotsy,-18.9235,47.5435,230000,2,550,1,320,1
27,Ankadifotsy,-18.9210,47.5408,265000,3,480,1,290,2
28,Ambanidia,-18.9120,47.5290,355000,4,270,1,170,2
29,Ambanidia,-18.9135,47.5275,335000,3,310,1,195,1
30,Ambanidia,-18.9110,47.5305,370000,4,245,1,160,2
31,Faravohitra,-18.9060,47.5290,400000,5,160,1,90,3
32,Faravohitra,-18.9075,47.5278,385000,4,185,1,105,2
33,Faravohitra,-18.9050,47.5302,415000,5,140,1,85,3
34,Ambohipo,-18.8950,47.5500,220000,3,480,1,310,1
35,Ambohipo,-18.8965,47.5515,200000,2,530,1,340,0
36,Ambohipo,-18.8940,47.5488,235000,3,460,1,295,1
37,Andohatapenaka,-18.9350,47.5100,130000,1,950,0,520,0
38,Andohatapenaka,-18.9365,47.5085,115000,1,1050,0,580,0
39,Andohatapenaka,-18.9340,47.5115,140000,2,880,0,500,0
40,Soarano,-18.9130,47.5400,345000,4,240,1,145,2
41,Soarano,-18.9145,47.5415,325000,4,275,1,165,2
42,Soarano,-18.9120,47.5388,360000,4,215,1,135,3
43,Ankadivato,-18.9000,47.5460,270000,3,420,1,260,1
44,Ankadivato,-18.9015,47.5475,250000,3,470,1,285,1
45,Ankadivato,-18.8990,47.5448,280000,3,400,1,250,2
46,Manjakaray,-18.8920,47.5380,290000,4,360,1,220,2
47,Manjakaray,-18.8935,47.5395,275000,3,395,1,240,1
48,Manjakaray,-18.8910,47.5368,305000,4,330,1,205,2
49,Andravoahangy,-18.9280,47.5350,185000,2,680,0,410,0
50,Andravoahangy,-18.9295,47.5365,170000,2,720,0,440,0
